Posted Date,Type,Description,Amount,Account,Notes,Balance,Raw Description
2024-07-02T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24033B1000159260-0 *1870409820*199999 999\\",155.20,0625,,4886.50,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24033B1000159260-0 *1870409820*199999 999\\"
2024-07-02T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24033B1000089042-0 *1870409820*199999 999\\",78.28,0625,,4964.78,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24033B1000089042-0 *1870409820*199999 999\\"
2024-07-03T06:00:00+00,withdrawal,OVERDRAFT FEE FOR OVERDRAFT CHECK # 177,-30.10,0625,,4934.68,OVERDRAFT FEE FOR OVERDRAFT CHECK # 177
2024-07-03T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 02-07-24 TIME: 06:07:37,21.93,0625,,4956.61,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 02-07-24 TIME: 06:07:37
2024-07-04T06:00:00+00,withdrawal,OVERDRAFT FEE FOR CONTINUOUS OD ON 02-07-24,-55.00,0625,,4901.61,OVERDRAFT FEE FOR CONTINUOUS OD ON 02-07-24
2024-07-04T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 02-08-24 TIME: 08:56:26,40.08,0625,,4941.69,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 02-08-24 TIME: 08:56:26
2024-07-04T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 02-08-24 TIME: 17:08:08,18.22,0625,,4959.91,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 02-08-24 TIME: 17:08:08
2024-07-05T06:00:00+00,withdrawal,OVERDRAFT FEE FOR CONTINUOUS OD ON 02-08-24,-55.00,0625,,4904.91,OVERDRAFT FEE FOR CONTINUOUS OD ON 02-08-24
2024-07-05T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24038B1000081422-0 *1870409820*199999 999\\",180.40,0625,,5085.31,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24038B1000081422-0 *1870409820*199999 999\\"
2024-07-05T06:00:00+00,deposit,PREAUTHORIZED CREDIT AARP Supplementa HCCLAIMPMT 91022731312*136273 9571*000036273\\,237.16,0625,,5322.47,PREAUTHORIZED CREDIT AARP Supplementa HCCLAIMPMT 91022731312*136273 9571*000036273\\
2024-07-09T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24040B1000081783-0 *1870409820*199999 999\\",73.65,0625,,5396.12,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24040B1000081783-0 *1870409820*199999 999\\"
2024-07-10T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 02-14-24 TIME: 16:08:58,40.08,0625,,5436.20,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 02-14-24 TIME: 16:08:58
2024-07-11T06:00:00+00,withdrawal,PREAUTHORIZED WD INTUIT PAYROLL S QUICKBOOKS 240215 465698325,-1294.95,0625,,4141.25,PREAUTHORIZED WD INTUIT PAYROLL S QUICKBOOKS 240215 465698325
2024-07-11T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 02-15-24 TIME: 11:04:01,943.59,0625,,5084.84,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 02-15-24 TIME: 11:04:01
2024-07-12T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24045B1000141082-0 *1870409820*199999 999\\",51.49,0625,,5136.33,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24045B1000141082-0 *1870409820*199999 999\\"
2024-07-12T06:00:00+00,deposit,PREAUTHORIZED CREDIT Optum HCCLAIMPMT 2225334788*1272337 487*0000LIFE1\\,83.60,0625,,5219.93,PREAUTHORIZED CREDIT Optum HCCLAIMPMT 2225334788*1272337 487*0000LIFE1\\
2024-07-16T06:00:00+00,withdrawal,PREAUTHORIZED WD COMCAST CABLE 240220,-252.85,0625,,4967.08,PREAUTHORIZED WD COMCAST CABLE 240220
2024-07-16T06:00:00+00,withdrawal,PREAUTHORIZED WD ADVANCEDMD SOFTW DEBIT 240220,-514.01,0625,,4453.07,PREAUTHORIZED WD ADVANCEDMD SOFTW DEBIT 240220
2024-07-16T06:00:00+00,withdrawal,PREAUTHORIZED WD WEBTIMECLOCK.COM WEBTIMECLK 240220,-55.00,0625,,4398.07,PREAUTHORIZED WD WEBTIMECLOCK.COM WEBTIMECLK 240220
2024-07-17T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24047B1000080026-0 *1870409820*199999 999\\",67.77,0625,,4465.84,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24047B1000080026-0 *1870409820*199999 999\\"
2024-07-17T06:00:00+00,deposit,PREAUTHORIZED CREDIT UNIVERSITY HEALT HCCLAIMPMT 700266188*18760005 25\\,239.59,0625,,4705.43,PREAUTHORIZED CREDIT UNIVERSITY HEALT HCCLAIMPMT 700266188*18760005 25\\
2024-07-18T06:00:00+00,withdrawal,CHECK,-415.42,0625,,4290.01,CHECK
2024-07-18T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 02-22-24 TIME: 04:12:22,901.57,0625,,5191.58,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 02-22-24 TIME: 04:12:22
2024-07-19T06:00:00+00,deposit,PREAUTHORIZED CREDIT United HealthCar HCCLAIMPMT 1SG14092777*141128 9245*000087726\\,139.97,0625,,5331.55,PREAUTHORIZED CREDIT United HealthCar HCCLAIMPMT 1SG14092777*141128 9245*000087726\\
2024-07-19T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24052B1000083297-0 *1870409820*199999 999\\",62.35,0625,,5393.90,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24052B1000083297-0 *1870409820*199999 999\\"
2024-07-22T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 02-26-24 TIME: 11:25:22,18.22,0625,,5412.12,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 02-26-24 TIME: 11:25:22
2024-07-23T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 02-27-24 TIME: 16:31:30,18.22,0625,,5430.34,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 02-27-24 TIME: 16:31:30
2024-07-23T06:00:00+00,deposit,PREAUTHORIZED CREDIT Optum HCCLAIMPMT 2242774501*1272337 487*0000LIFE1\\,240.90,0625,,5671.24,PREAUTHORIZED CREDIT Optum HCCLAIMPMT 2242774501*1272337 487*0000LIFE1\\
2024-07-24T06:00:00+00,withdrawal,CHECK,-574.21,0625,,5097.03,CHECK
2024-07-24T06:00:00+00,withdrawal,CHECK,-182.18,0625,,4914.85,CHECK
2024-07-24T06:00:00+00,withdrawal,PREAUTHORIZED WD FCF ACH PAYMNT 240228 WB77114,-262.74,0625,,4652.11,PREAUTHORIZED WD FCF ACH PAYMNT 240228 WB77114
2024-07-24T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 02-28-24 TIME: 07:40:07,742.61,0625,,5394.72,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 02-28-24 TIME: 07:40:07
2024-07-25T06:00:00+00,withdrawal,PREAUTHORIZED WD INTUIT PAYROLL S QUICKBOOKS 240229 465698325,-1327.74,0625,,4066.98,PREAUTHORIZED WD INTUIT PAYROLL S QUICKBOOKS 240229 465698325
2024-07-25T06:00:00+00,fee,SERVICE CHARGE MONTHLY,-35.00,0625,,4031.98,SERVICE CHARGE MONTHLY
2024-07-25T06:00:00+00,deposit,PREAUTHORIZED CREDIT UnitedHealthcare HCCLAIMPMT 25863300*141128924 5*000087726\\,74.14,0625,,4106.12,PREAUTHORIZED CREDIT UnitedHealthcare HCCLAIMPMT 25863300*141128924 5*000087726\\
2024-07-26T06:00:00+00,deposit,PREAUTHORIZED CREDIT UHC Benefits Pla HCCLAIMPMT 1SW14413684*147322 1444*000087726\\,42.56,0625,,4148.68,PREAUTHORIZED CREDIT UHC Benefits Pla HCCLAIMPMT 1SW14413684*147322 1444*000087726\\
2024-07-26T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24059B1000084824-0 *1870409820*199999 999\\",98.92,0625,,4247.60,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24059B1000084824-0 *1870409820*199999 999\\"
2024-07-29T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 03-02-24 TIME: 11:20:34,992.99,0625,,5240.59,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 03-02-24 TIME: 11:20:34
2024-07-30T06:00:00+00,withdrawal,CHECK,-369.37,0625,,4871.22,CHECK
2024-07-31T06:00:00+00,withdrawal,PREAUTHORIZED WD QuestarGas QuestarGas 240306,-72.89,0625,,4798.33,PREAUTHORIZED WD QuestarGas QuestarGas 240306
2024-08-01T06:00:00+00,deposit,PREAUTHORIZED CREDIT AARP Supplementa HCCLAIMPMT 91035270889*136273 9571*000036273\\,48.56,0625,,4846.89,PREAUTHORIZED CREDIT AARP Supplementa HCCLAIMPMT 91035270889*136273 9571*000036273\\
2024-08-02T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 03-08-24 TIME: 00:21:31,322.26,0625,,5169.15,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 03-08-24 TIME: 00:21:31
2024-08-02T06:00:00+00,deposit,PREAUTHORIZED CREDIT UNITEDHEALTHCARE HCCLAIMPMT 1TZ73767199*141128 9245*000087726\\,158.83,0625,,5327.98,PREAUTHORIZED CREDIT UNITEDHEALTHCARE HCCLAIMPMT 1TZ73767199*141128 9245*000087726\\
2024-08-02T06:00:00+00,deposit,PREAUTHORIZED CREDIT UNITEDHEALTHCARE HCCLAIMPMT 1TZ73844771*141128 9245*000087726\\,59.60,0625,,5387.58,PREAUTHORIZED CREDIT UNITEDHEALTHCARE HCCLAIMPMT 1TZ73844771*141128 9245*000087726\\
2024-08-05T06:00:00+00,withdrawal,CHECK,-262.50,0625,,5125.08,CHECK
2024-08-05T06:00:00+00,transfer,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 03-10-24 TIME: 17:45:00,191.28,0625,,5316.36,INTERNET/PHONE TRSFR FR ACC XXXXXXX0617 DATE: 03-10-24 TIME: 17:45:00
2024-08-06T06:00:00+00,deposit,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24068B1000050615-0 *1870409820*199999 999\\",225.94,0625,,5542.30,"PREAUTHORIZED CREDIT SH-SELECTHEALTH, HCCLAIMPMT 24068B1000050615-0 *1870409820*199999 999\\"
2024-08-07T06:00:00+00,deposit,PREAUTHORIZED CREDIT UnitedHealthcare HCCLAIMPMT 26163605*141128924 5*000087726\\,97.05,0625,,5639.35,PREAUTHORIZED CREDIT UnitedHealthcare HCCLAIMPMT 26163605*141128924 5*000087726\\
2024-08-08T06:00:00+00,deposit,PREAUTHORIZED CREDIT Oxford Health Pl HCCLAIMPMT 26168690*152244375 1*000006111\\,280.30,0625,,5919.65,PREAUTHORIZED CREDIT Oxford Health Pl HCCLAIMPMT 26168690*152244375 1*000006111\\
